Search Times,T/¦Ìs
16,1.2
9,0.8
17,1.2
6,0.5
9,0.7
16,1.1
4,0.4
9,0.6
6,0.5
17,1.1
16,1.1
2,0.2
5,0.5
2,0.3
16,1
10,0.8
4,0.4
13,1
9,0.6
11,0.7
2,0.2
16,1.1
10,0.7
3,0.3
17,1.8
20,1.2
14,1
16,1.1
2,0.2
9,0.6
3,0.4
16,1.1
6,0.5
11,0.7
3,0.4
1,0.3
17,1.2
9,0.7
5,0.4
20,1.1
16,1.2
2,0.3
9,0.6
9,0.7
1,0.2
13,0.9
4,0.3
4,0.4
17,1.1
9,0.7
8,0.6
20,1.2
11,0.8
11,0.7
11,0.7
16,1.5
16,1.1
17,1.2
5,0.6
11,1
16,1.2
9,0.6
16,1.2
20,1.2
16,1.2
6,0.9
5,0.6
11,0.8
9,0.9
16,1.2
3,0.5
8,0.8
3,0.4
2,0.2
12,0.8
10,0.7
5,0.4
17,1.2
20,1.1
16,1.3
6,0.6
5,0.4
12,0.8
16,1.2
9,0.7
4,0.4
6,0.6
9,0.7
8,0.5
9,0.7
9,0.6
11,0.7
1,0.2
8,0.5
16,1.2
2,0.2
6,0.6
2,0.3
6,0.5
6,0.5
Search Times,T/¦Ìs
