Search Times,T/¦Ìs
1000000,1995.9
1000000,1997.2
1000000,2002
1000000,1996.5
1000000,2008.1
1000000,2071.5
1000000,2072.9
1000000,2006.3
1000000,1995.4
1000000,1996.5
1000000,1996.3
1000000,1995.7
1000000,2056
1000000,1996.2
1000000,2006.2
1000000,1996.3
1000000,2001.8
1000000,1999.3
1000000,1999.8
1000000,2053.2
1000000,1998.5
1000000,1996.8
1000000,1996.9
1000000,1996.1
1000000,2070.3
1000000,2010.6
1000000,1996.7
1000000,1996.9
1000000,2006.1
1000000,2006.9
1000000,1997.5
1000000,1996.3
1000000,1995.7
1000000,1995.8
1000000,1998.4
1000000,1998
1000000,2036.5
1000000,2039.7
1000000,1997.1
1000000,2035.9
1000000,2009.5
1000000,2108.7
1000000,2038.3
1000000,2034.2
1000000,1997.9
1000000,1996.9
1000000,2035.7
1000000,1996.7
1000000,1995.3
1000000,1997.1
1000000,2038
1000000,2052.6
1000000,1999.1
1000000,2006.7
1000000,1996.6
1000000,1995.9
1000000,2034.8
1000000,2040.8
1000000,2001.4
1000000,2000.3
1000000,1998.1
1000000,1996.6
1000000,1997.5
1000000,1994.9
1000000,1997.4
1000000,1995.3
1000000,2007
1000000,1997.4
1000000,2113
1000000,2000.6
1000000,2034.8
1000000,1999.6
1000000,1997.1
1000000,1996.9
1000000,1997.3
1000000,2083.2
1000000,1998.3
1000000,2073.9
1000000,2034.5
1000000,1997.5
1000000,1998.9
1000000,1998.1
1000000,2083.7
1000000,1997.5
1000000,2071.5
1000000,2016.3
1000000,1997.4
1000000,2744.4
1000000,1998.2
1000000,2072.8
1000000,2033.1
1000000,2004.2
1000000,1998.6
1000000,1998.7
1000000,1997.3
1000000,1997.3
1000000,1995.3
1000000,1995.5
1000000,2101.7
1000000,1996.7
