Search Times,T/¦Ìs
16808,33.7
475250,953.1
650074,1341.5
943659,1886.6
108931,217.3
211273,423.2
27545,55
850879,1873.4
777924,1573.4
237710,476.6
564441,1284.6
438166,915.5
484493,1040.1
243043,522.2
807988,1658
522504,1045
282328,770
531730,2074.4
378841,882.4
542613,1742.6
544304,1607.2
833170,2349.1
817710,1642
97158,233.6
129561,258.2
570934,1188.1
493100,1056.9
280279,562.4
351817,738.5
795336,1592.7
899098,2047.4
807827,1803.7
613513,1243.8
929268,1866.9
723811,1460.7
877634,1753.8
580980,1162
379150,791.4
236580,476.2
558822,1117.4
511968,1022.1
10673,21.4
901394,1802.4
819337,1822.1
125486,374.4
91746,299.8
425229,897.7
894092,1847.3
640195,1291.7
186358,374.4
35002,69.9
921154,1841.5
616709,1232.9
357945,758.8
515669,1072.5
571491,1164.9
788125,1632.7
702197,1404.6
509531,1017.7
60904,121.3
727723,1478.1
454667,909.4
728550,1455.5
118025,234.6
797802,1592.7
806854,1610.5
540978,1081.5
847409,1693.7
308229,616.3
374934,749.7
260299,518.8
938982,1875.4
28636,56.9
408014,815.2
623866,1244.9
389815,779.4
739064,1475.4
554537,1109
339426,677
1670,3.3
724116,1446.6
220095,437.7
75630,150.6
446502,891.4
546518,1090.2
934196,1866.1
30106,60.1
810405,1620.2
319452,698.8
194299,402.1
782189,1564.9
821124,1640
799506,1927.8
246883,542.1
406753,817.5
731567,1515.1
936717,1922.9
130338,260.4
354439,709.4
53145,105.9
